name,old_price,new_price,promotion,reviews_amount,reviews_rating_number
Kit 2 Café Em Grãos Torrado 100% Arábica Gourmet Café Bororó,178,35,,(2),5.0
Café Torrado em Grãos Utam Gourmet Pacote 1kg,115,,,(8),4.3
Café Grãos Torrado 4 Kg Blend 100% Arábica Gourmet Artesanal,389,55,,(23),4.9
Café Utam Gourmet Em Grãos 1 Kg,129,119,7% OFF,(1),5.0
Kit 5 Kg Café Gourmet Em Grão Ouro Da Mogiana Frete Grátis,639,588,7% OFF,(1),5.0
Café Torrado Em Grão Gourmet Kit 5kg,583,525,10% OFF,(1),5.0
Café Torrado E Moído Baggio Chocolate Com Avelã 250g,55,,,(1),5.0
Café Orgânico Torrado E Moído Jacu Bird Fazenda Camocim100g,191,,,(19),4.8
Café Gourmet Mogiana Paulista Torrado E Moído União 250g,49,45,8% OFF,,
Café Em Grãos Prima Qualità Pacote 1kg,184,,,(29),4.9
1 Kg Santa Lucia  Do Melhor Café Gourmet,119,,,(4),5.0
1 Pacote De Café Moído Três Corações - Escolha Sabor,41,,,(29),4.9
Café Especial Descafeinado Caturra Torra Média 250g,78,47,39% OFF,(19),4.6
Café Gourmet Em Grãos Torrado Loretto Especial 1kg Kit 2und,124,,,(2),5.0
Café Gourmet Torrado Grãos Mogiana Paulista 1kg Especial,111,,,(15),4.9
4kg Café Vo Luiz Gourmet Graos 100% Arábica Frete Gratis,353,34,,(5),4.8
Kit Café Gourmet Baggio Chocolate Trufado + Caramelo + Menta,152,,,(3),5.0
2kg De Cafe Em Grão Gourmet 100% Arábica - Café Helena,238,23,,(2),5.0
Café Kurubi Oca 1kg Em Grãos,96,,,(8),4.4
Café 100% Arábica Torrado E Moído 500g Duas Irmãs,52,47,8% OFF,(1),5.0
Café Torrado Em Grão Gold Valle Gourmet Clássico,135,,,(2),5.0
1 Kg Café Vo Luiz Gourmet Em Po 100% Arábica Frete Gratis,96,,,(8),4.8
Café Tipo moca torrado moído 250g Vulcânica Cafés Especiais,54,50,8% OFF,,
Café Jacu Bird Moído 250g,407,39,,(1),5.0
Café Espresso Gourmet Torrado Em Grãos São Sebastião 1kg,106,,,(19),4.7
Café Gourmet - Vó Liani - Torrado Em Grãos 500g,58,53,8% OFF,(3),5.0
Café Jacu Bird Torrado Em Grãos Camocim Kit 3 Sachês 100g,499,48,,(1),5.0
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Café Jacu Bird Torrado Em Grãos Camocim Kit 3 Sachês 100g,499,48,,(1),5.0
Kit 3kg Café Torrado Em Grãos Café São Sebastião Promoção ,322,31,,(82),4.6
Café Vô Luiz Gourmet Torrado E Moído - 100%arabica 500g,44,,,(6),4.5
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Especial Torrado em Grãos Clássico Orfeu Pacote 1kg,187,112,39% OFF,(1101),4.8
Café Gourmet Torrado E Moído Pó Aroma Caramelo Capresso 250g,32,16,,(3),4.3
5 Quilos De Café Gourmet Torrado Em Grãos 100 % Arábica ,588,56,,(1),5.0
Café Gourmet Kit 5kg Torrado Em Grãos São Sebastião,514,,,(37),4.9
Kit 3kg Café Especial Dupan Em Grãos Arábica Gourmet,309,285,7% OFF,(2),5.0
"Kit Café Gourmet Moído São Sebastião 2,5kg",236,23,,(38),4.9
Café Especial Torrado Em Grãos Carmo De Minas 500g,232,176,24% OFF,(1),5.0
Café Torrado Moído Member's Mark Gourmet Arábica Premium 1kg,155,,,(4),5.0
Café 100% Arábica Gourmet Torrado E Moído Duas Irmãs 500g,53,46,12% OFF,,
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café Expresso Em Grãos Delta Café Gold Gourmet Kit 2kg,238,215,10% OFF,(5),5.0
2 Kg Café Gourmet Em Grão Ouro Da Mogiana,274,252,7% OFF,(12),5.0
Melhor Café Gourmet 1 Kg Torrado Em Grãos ,119,,,(6),4.5
